Index,Player,Nation,Position,Age,Matches Played (MP),Starts,Minutes Played (Min),90s Played (90s),Goals (Gls),Assists (Ast),Goals + Assists (G+A),Non-Penalty Goals (G-PK),Penalty Kicks Made (PK),Penalty Kicks Attempted (PKatt),Yellow Cards (CrdY),Red Cards (CrdR),Expected Goals (xG),Non-Penalty xG (npxG),Expected Assisted Goals (xAG),Non-Penalty xG + Assisted Goals (npxG+xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90 Minutes (Gls/90),Assists per 90 Minutes (Ast/90),Goals + Assists per 90 Minutes (G+A/90),Non-Penalty Goals per 90 Minutes (G-PK/90),Goals + Assists minus Penalty Kicks per 90 Minutes (G+A-PK/90),Expected Goals per 90 Minutes (xG/90),Expected Assisted Goals per 90 Minutes (xAG/90),Expected Goals + Assisted Goals per 90 Minutes (xG+xAG/90),Non-Penalty Expected Goals per 90 Minutes (npxG/90),Non-Penalty xG + Assisted Goals per 90 Minutes (npxG+xAG/90),Team,Season,Matches Played (MP)
19,Giuliano Simeone,ar ARG,FW,20,14,6,630,7,1,2,3,1,0,1,1,0,2.4,1.6,2,3.6,25,24,47,0.14,0.29,0.43,0.14,0.43,0.34,0.29,0.63,0.23,0.52,Alaves,2023-2024,
20,Jesï¿½ï¿½s O,gq EQG,GK,22,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alaves,2023-2024,
21,Xeber,es ESP,"FW,MF",26,10,3,302,3.4,0,0,0,0,0,0,1,0,0.4,0.4,0.6,1,6,6,30,0,0,0,0,0,0.11,0.19,0.3,0.11,0.3,Alaves,2023-2024,
22,Joaquï¿½ï¿½n Panich,ar ARG,"FW,MF",20,8,2,226,2.5,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,3,6,10,0,0,0,0,0,0.22,0.04,0.26,0.22,0.26,Alaves,2023-2024,
23,Miguel,es ESP,"FW,MF",23,3,1,65,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,3,0,0,0,0,0,0.13,0,0.13,0.13,0.13,Alaves,2023-2024,
24,Mamadou Sylla,sn SEN,"FW,MF",29,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Alaves,2023-2024,
25,Jon Karrikaburu,es ESP,"MF,FW",20,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Alaves,2023-2024,
26,Eneko Ortiz,es ESP,DF,20,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Alaves,2023-2024,
27,Tomï¿½ï¿½s Me,es ESP,MF,18,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alaves,2023-2024,
28,Unai Ropero,es ESP,MF,21,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alaves,2023-2024,
