Index,Player,Nation,Team,Position,Age,Matches Played (MP),Starts,Minutes Played (Min),90s Played (90s),Goals (Gls),Assists (Ast),Goals + Assists (G+A),Non-Penalty Goals (G-PK),Penalty Kicks Made (PK),Penalty Kicks Attempted (PKatt),Yellow Cards (CrdY),Red Cards (CrdR),Expected Goals (xG),Non-Penalty xG (npxG),Expected Assisted Goals (xAG),Non-Penalty xG + Assisted Goals (npxG+xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90 Minutes (Gls/90),Assists per 90 Minutes (Ast/90),Goals + Assists per 90 Minutes (G+A/90),Non-Penalty Goals per 90 Minutes (G-PK/90),Goals + Assists minus Penalty Kicks per 90 Minutes (G+A-PK/90),Expected Goals per 90 Minutes (xG/90),Expected Assisted Goals per 90 Minutes (xAG/90),Expected Goals + Assisted Goals per 90 Minutes (xG+xAG/90),Non-Penalty Expected Goals per 90 Minutes (npxG/90),Non-Penalty xG + Assisted Goals per 90 Minutes (npxG+xAG/90),Unnamed: 35,Season,Matches Played (MP).1
12,Chumi,es ESP,Almeria,DF,23.0,,15,1489.0,16.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.4,0.4,0.1,0.5,13.0,32.0,10.0,0.06,0.0,0.06,0.06,0.06,0.02,0.0,0.03,0.02,0.03,Matches,2020-2021,21.0
13,El Bilal Touré,ml MLI,Almeria,FW,20.0,,15,1264.0,14.0,7.0,2.0,9.0,7.0,0.0,0.0,0.0,0.0,6.3,6.3,1.3,7.6,18.0,14.0,51.0,0.5,0.14,0.64,0.5,0.64,0.45,0.09,0.54,0.45,0.54,Matches,2020-2021,21.0
14,Largie Ramazani,be BEL,Almeria,"FW,MF",21.0,,13,1403.0,15.6,3.0,1.0,4.0,3.0,0.0,1.0,6.0,0.0,4.2,3.4,1.7,5.1,59.0,30.0,94.0,0.19,0.06,0.26,0.19,0.26,0.27,0.11,0.38,0.22,0.33,Matches,2020-2021,33.0
15,Álex Centelles,es ESP,Almeria,DF,24.0,,11,1123.0,12.5,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.4,0.4,1.3,1.7,17.0,35.0,48.0,0.08,0.16,0.24,0.08,0.24,0.03,0.11,0.14,0.03,0.14,Matches,2020-2021,15.0
16,Houboulang Mendes,gw GNB,Almeria,DF,24.0,,11,886.0,9.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,18.0,18.0,30.0,0.0,0.1,0.1,0.0,0.1,0.0,0.03,0.03,0.0,0.03,Matches,2020-2021,14.0
17,Íñigo Eguaras,es ESP,Almeria,MF,30.0,,10,967.0,10.7,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,0.6,1.7,8.0,61.0,7.0,0.09,0.09,0.19,0.09,0.19,0.1,0.06,0.16,0.1,0.16,Matches,2020-2021,25.0
18,Arnau Puigmal,es ESP,Almeria,"MF,FW",21.0,,7,763.0,8.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.1,1.1,0.5,1.7,24.0,16.0,57.0,0.12,0.0,0.12,0.12,0.12,0.13,0.06,0.19,0.13,0.19,Matches,2020-2021,22.0
19,Lázaro,br BRA,Almeria,"FW,MF",20.0,,7,716.0,8.0,6.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,4.0,4.0,0.8,4.8,23.0,26.0,59.0,0.75,0.0,0.75,0.75,0.75,0.5,0.1,0.6,0.5,0.6,Matches,2020-2021,19.0
20,Kaiky,br BRA,Almeria,DF,18.0,,7,581.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.0,0.1,7.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2020-2021,13.0
21,Francisco Portillo,es ESP,Almeria,"MF,FW",32.0,,4,722.0,8.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.7,0.7,1.0,1.7,16.0,74.0,37.0,0.25,0.12,0.37,0.25,0.37,0.09,0.13,0.21,0.09,0.21,Matches,2020-2021,27.0
22,Dyego Sousa,pt POR,Almeria,FW,32.0,,3,527.0,5.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,1.0,2.2,10.0,16.0,39.0,0.0,0.17,0.17,0.0,0.17,0.2,0.17,0.37,0.2,0.37,Matches,2020-2021,20.0
23,Umar Sadiq,ng NGA,Almeria,FW,25.0,,3,240.0,2.7,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.5,1.5,0.2,1.6,5.0,2.0,7.0,0.75,0.0,0.75,0.75,0.75,0.55,0.06,0.61,0.55,0.61,Matches,2020-2021,3.0
24,Fernando Pacheco,es ESP,Almeria,GK,30.0,,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,1.0
25,Diego Mariño,es ESP,Almeria,GK,32.0,,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,1.0
26,Curro,es ESP,Almeria,MF,26.0,,0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19,0.44,0.63,0.19,0.63,Matches,2020-2021,2.0
27,José Carlos Lazo,es ESP,Almeria,"MF,FW",26.0,,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,Matches,2020-2021,1.0
28,Marko Milovanović,rs SRB,Almeria,FW,18.0,,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.3,Matches,2020-2021,2.0
0,Jan Oblak,si SVN,AM,GK,27.0,,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,38.0
1,Koke,es ESP,AM,MF,28.0,,34,3021.0,33.6,1.0,2.0,3.0,1.0,0.0,0.0,9.0,0.0,2.0,2.0,3.1,5.1,39.0,250.0,42.0,0.03,0.06,0.09,0.03,0.09,0.06,0.09,0.15,0.06,0.15,Matches,2020-2021,37.0
2,Marcos Llorente,es ESP,AM,"MF,FW",25.0,,33,2956.0,32.8,12.0,11.0,23.0,12.0,0.0,0.0,6.0,0.0,3.4,3.4,5.6,9.0,90.0,140.0,215.0,0.37,0.33,0.7,0.37,0.7,0.1,0.17,0.28,0.1,0.28,Matches,2020-2021,37.0
3,Stefan Savić,me MNE,AM,DF,29.0,,33,2953.0,32.8,1.0,0.0,1.0,1.0,0.0,0.0,14.0,0.0,0.8,0.8,0.1,0.9,30.0,103.0,2.0,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,Matches,2020-2021,33.0
4,Mario Hermoso,es ESP,AM,DF,25.0,,30,2578.0,28.6,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.1,1.1,0.6,1.6,30.0,172.0,23.0,0.03,0.03,0.07,0.03,0.07,0.04,0.02,0.06,0.04,0.06,Matches,2020-2021,31.0
5,Luis Suárez,uy URU,AM,FW,33.0,,30,2508.0,27.9,21.0,3.0,24.0,18.0,3.0,3.0,6.0,0.0,16.2,13.9,3.0,16.8,30.0,46.0,171.0,0.75,0.11,0.86,0.65,0.75,0.58,0.11,0.69,0.5,0.6,Matches,2020-2021,32.0
6,Ángel Correa,ar ARG,AM,"FW,MF",25.0,,29,2393.0,26.6,9.0,8.0,17.0,9.0,0.0,0.0,3.0,0.0,7.8,7.7,5.7,13.4,64.0,84.0,186.0,0.34,0.3,0.64,0.34,0.64,0.29,0.21,0.51,0.29,0.51,Matches,2020-2021,38.0
7,Kieran Trippier,eng ENG,AM,DF,29.0,,28,2475.0,27.5,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.6,3.8,43.0,169.0,196.0,0.0,0.22,0.22,0.0,0.22,0.0,0.13,0.14,0.0,0.14,Matches,2020-2021,28.0
8,Yannick Carrasco,be BEL,AM,"DF,MF",26.0,,25,2179.0,24.2,6.0,10.0,16.0,6.0,0.0,0.0,6.0,0.0,5.2,5.2,6.0,11.2,146.0,86.0,212.0,0.25,0.41,0.66,0.25,0.66,0.21,0.25,0.46,0.21,0.46,Matches,2020-2021,30.0
9,Felipe,br BRA,AM,DF,31.0,,23,2057.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.5,1.5,0.3,1.8,5.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,Matches,2020-2021,31.0
10,Saúl Ñíguez,es ESP,AM,"MF,DF",25.0,,22,2033.0,22.6,2.0,1.0,3.0,2.0,0.0,1.0,10.0,0.0,2.8,1.9,1.7,3.7,19.0,82.0,93.0,0.09,0.04,0.13,0.09,0.13,0.12,0.08,0.2,0.08,0.16,Matches,2020-2021,33.0
11,José María Giménez,uy URU,AM,DF,25.0,,20,1765.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.1,1.1,0.2,1.4,11.0,59.0,4.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,Matches,2020-2021,21.0
12,Thomas Lemar,fr FRA,AM,MF,24.0,,19,1366.0,15.2,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,1.6,1.6,2.0,3.6,37.0,78.0,102.0,0.07,0.2,0.26,0.07,0.26,0.1,0.13,0.24,0.1,0.24,Matches,2020-2021,27.0
13,João Félix,pt POR,AM,"FW,MF",20.0,,14,1572.0,17.5,7.0,5.0,12.0,6.0,1.0,2.0,6.0,0.0,5.5,3.9,4.3,8.1,49.0,73.0,94.0,0.4,0.29,0.69,0.34,0.63,0.31,0.24,0.56,0.22,0.47,Matches,2020-2021,31.0
14,Renan Lodi,br BRA,AM,"DF,FW",22.0,,11,1129.0,12.5,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,1.8,2.6,44.0,36.0,126.0,0.08,0.16,0.24,0.08,0.24,0.06,0.14,0.21,0.06,0.21,Matches,2020-2021,23.0
15,Héctor Herrera,mx MEX,AM,MF,30.0,,8,682.0,7.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.7,1.0,4.0,48.0,7.0,0.0,0.13,0.13,0.0,0.13,0.04,0.09,0.13,0.04,0.13,Matches,2020-2021,16.0
16,Šime Vrsaljko,hr CRO,AM,"FW,DF",28.0,,6,519.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,24.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,9.0
17,Geoffrey Kondogbia,cf CTA,AM,MF,27.0,,4,611.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.4,0.6,14.0,37.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.09,0.02,0.09,Matches,2020-2021,25.0
18,Lucas Torreira,uy URU,AM,MF,24.0,,3,518.0,5.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.5,0.6,6.0,27.0,4.0,0.17,0.0,0.17,0.17,0.17,0.02,0.09,0.11,0.02,0.11,Matches,2020-2021,19.0
19,Vitolo,es ESP,AM,"MF,FW",30.0,,3,298.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.2,0.7,7.0,17.0,33.0,0.0,0.0,0.0,0.0,0.0,0.13,0.07,0.2,0.13,0.2,Matches,2020-2021,10.0
20,Diego Costa,es ESP,AM,FW,31.0,,2,208.0,2.3,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.4,0.6,0.5,1.1,3.0,6.0,21.0,0.87,0.0,0.87,0.43,0.43,0.6,0.21,0.82,0.26,0.48,Matches,2020-2021,7.0
21,Thomas Partey,gh GHA,AM,MF,27.0,,2,200.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,4.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,2020-2021,3.0
22,Manu Sánchez,es ESP,AM,DF,19.0,,1,49.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.0,1.0,2.0,0.0,1.84,1.84,0.0,1.84,0.0,0.73,0.73,0.0,0.73,Matches,2020-2021,1.0
23,Moussa Dembélé,fr FRA,AM,FW,24.0,,0,100.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.92,0.02,0.94,0.92,0.94,Matches,2020-2021,5.0
24,Ricard Sánchez,es ESP,AM,DF,20.0,,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,2020-2021,1.0
0,Frenkie de Jong,nl NED,Barcelona,"MF,DF",23.0,37.0,35,3154.0,35.0,3.0,4.0,7.0,3.0,0.0,0.0,5.0,0.0,4.8,4.8,5.8,10.6,95.0,238.0,129.0,0.09,0.11,0.2,0.09,0.2,0.14,0.17,0.3,0.14,0.3,Matches,2020-2021,
1,Jordi Alba,es ESP,Barcelona,"DF,FW",31.0,35.0,34,3025.0,33.6,3.0,5.0,8.0,3.0,0.0,0.0,9.0,0.0,1.9,1.9,7.6,9.5,48.0,197.0,354.0,0.09,0.15,0.24,0.09,0.24,0.06,0.22,0.28,0.06,0.28,Matches,2020-2021,
2,Lionel Messi,ar ARG,Barcelona,"FW,MF",33.0,35.0,33,3023.0,33.6,30.0,9.0,39.0,27.0,3.0,5.0,4.0,0.0,22.1,17.8,9.5,27.2,215.0,335.0,263.0,0.89,0.27,1.16,0.8,1.07,0.66,0.28,0.94,0.53,0.81,Matches,2020-2021,
3,Antoine Griezmann,fr FRA,Barcelona,"FW,MF",29.0,36.0,32,2604.0,28.9,13.0,7.0,20.0,12.0,1.0,2.0,4.0,0.0,12.1,10.5,5.6,16.1,41.0,104.0,224.0,0.45,0.24,0.69,0.41,0.66,0.42,0.19,0.61,0.36,0.56,Matches,2020-2021,
4,Sergio Busquets,es ESP,Barcelona,MF,32.0,36.0,32,2517.0,28.0,0.0,5.0,5.0,0.0,0.0,0.0,9.0,0.0,0.3,0.3,3.2,3.4,25.0,254.0,29.0,0.0,0.18,0.18,0.0,0.18,0.01,0.11,0.12,0.01,0.12,Matches,2020-2021,
5,Marc-André ter Stegen,de GER,Barcelona,GK,28.0,31.0,31,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,
6,Clément Lenglet,fr FRA,Barcelona,DF,25.0,33.0,29,2475.0,27.5,1.0,0.0,1.0,1.0,0.0,0.0,11.0,2.0,1.8,1.8,0.8,2.7,33.0,181.0,9.0,0.04,0.0,0.04,0.04,0.04,0.07,0.03,0.1,0.07,0.1,Matches,2020-2021,
7,Pedri,es ESP,Barcelona,MF,17.0,37.0,28,2415.0,26.8,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,4.6,4.4,3.5,7.9,65.0,152.0,128.0,0.11,0.11,0.22,0.11,0.22,0.17,0.13,0.3,0.16,0.3,Matches,2020-2021,
8,Sergiño Dest,us USA,Barcelona,"DF,FW",19.0,30.0,23,1909.0,21.2,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.7,1.7,2.1,3.8,74.0,76.0,218.0,0.09,0.05,0.14,0.09,0.14,0.08,0.1,0.18,0.08,0.18,Matches,2020-2021,
9,Óscar Mingueza,es ESP,Barcelona,DF,21.0,27.0,23,1901.0,21.1,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.9,1.9,23.0,99.0,33.0,0.09,0.09,0.19,0.09,0.19,0.05,0.04,0.09,0.05,0.09,Matches,2020-2021,
10,Ousmane Dembélé,fr FRA,Barcelona,FW,23.0,30.0,19,1774.0,19.7,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,5.6,5.6,4.2,9.8,140.0,87.0,288.0,0.3,0.15,0.46,0.3,0.46,0.28,0.21,0.5,0.28,0.5,Matches,2020-2021,
11,Gerard Piqué,es ESP,Barcelona,DF,33.0,18.0,18,1481.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.4,1.2,9.0,67.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches,2020-2021,
12,Ronald Araújo,uy URU,Barcelona,DF,21.0,24.0,16,1510.0,16.8,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.8,1.8,0.2,2.0,9.0,43.0,2.0,0.12,0.06,0.18,0.12,0.18,0.11,0.01,0.12,0.11,0.12,Matches,2020-2021,
13,Martin Braithwaite,dk DEN,Barcelona,FW,29.0,29.0,11,1175.0,13.1,2.0,2.0,4.0,2.0,0.0,1.0,3.0,0.0,5.4,4.6,2.3,6.9,20.0,15.0,91.0,0.15,0.15,0.31,0.15,0.31,0.41,0.18,0.59,0.35,0.53,Matches,2020-2021,
14,Sergi Roberto,es ESP,Barcelona,"DF,FW",28.0,15.0,9,946.0,10.5,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,1.8,2.1,23.0,51.0,91.0,0.1,0.19,0.29,0.1,0.29,0.03,0.17,0.2,0.03,0.2,Matches,2020-2021,
15,Philippe Coutinho,br BRA,Barcelona,"MF,FW",28.0,12.0,8,654.0,7.3,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.7,4.7,38.0,58.0,61.0,0.28,0.28,0.55,0.28,0.55,0.55,0.1,0.65,0.55,0.65,Matches,2020-2021,
16,Neto,br BRA,Barcelona,GK,31.0,7.0,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,
17,Samuel Umtiti,fr FRA,Barcelona,DF,26.0,13.0,6,645.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03,Matches,2020-2021,
18,Miralem Pjanić,ba BIH,Barcelona,MF,30.0,19.0,6,627.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.6,1.6,18.0,61.0,11.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.22,0.14,0.22,Matches,2020-2021,
19,Ansu Fati,es ESP,Barcelona,FW,17.0,7.0,6,431.0,4.8,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.8,1.8,1.7,3.5,32.0,12.0,60.0,0.84,0.0,0.84,0.84,0.84,0.37,0.36,0.73,0.37,0.73,Matches,2020-2021,
20,Ilaix Moriba,gn GUI,Barcelona,MF,17.0,14.0,4,542.0,6.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.9,1.7,16.0,25.0,20.0,0.17,0.33,0.5,0.17,0.5,0.13,0.15,0.29,0.13,0.29,Matches,2020-2021,
21,Francisco Trincão,pt POR,Barcelona,"FW,MF",20.0,28.0,3,706.0,7.8,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,2.6,2.6,0.4,3.0,22.0,28.0,92.0,0.38,0.25,0.64,0.38,0.64,0.33,0.05,0.39,0.33,0.39,Matches,2020-2021,
22,Junior Firpo,do DOM,Barcelona,"DF,MF",23.0,7.0,3,289.0,3.2,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,0.8,1.4,8.0,7.0,22.0,0.31,0.31,0.62,0.31,0.62,0.21,0.24,0.45,0.21,0.45,Matches,2020-2021,
23,Riqui Puig,es ESP,Barcelona,"MF,FW",20.0,14.0,2,292.0,3.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.2,0.8,11.0,34.0,15.0,0.31,0.0,0.31,0.31,0.31,0.2,0.05,0.25,0.2,0.25,Matches,2020-2021,
24,Carles Aleñá,es ESP,Barcelona,MF,22.0,2.0,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,2020-2021,
0,Jens Jønsson,dk DEN,Cadiz,MF,27.0,,33,2615.0,29.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.9,0.9,1.7,2.6,12.0,58.0,13.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,Matches,2020-2021,35.0
1,Jeremías Ledesma,ar ARG,Cadiz,GK,27.0,,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,32.0
2,Alfonso Espino,uy URU,Cadiz,DF,28.0,,31,2601.0,28.9,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.2,0.2,1.4,1.6,31.0,63.0,59.0,0.0,0.1,0.1,0.0,0.1,0.01,0.05,0.06,0.01,0.06,Matches,2020-2021,32.0
3,Isaac Carcelen,es ESP,Cadiz,DF,27.0,,31,2581.0,28.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,1.1,1.6,31.0,92.0,43.0,0.0,0.03,0.03,0.0,0.03,0.02,0.04,0.05,0.02,0.05,Matches,2020-2021,32.0
4,Fali,es ESP,Cadiz,"DF,MF",26.0,,29,2637.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.7,0.7,0.6,1.3,10.0,68.0,12.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,2020-2021,34.0
5,Álvaro Negredo,es ESP,Cadiz,FW,34.0,,29,2198.0,24.4,8.0,4.0,12.0,8.0,0.0,0.0,5.0,1.0,5.7,5.7,3.9,9.6,18.0,44.0,69.0,0.33,0.16,0.49,0.33,0.49,0.23,0.16,0.39,0.23,0.39,Matches,2020-2021,35.0
6,Cala,es ESP,Cadiz,DF,30.0,,26,2272.0,25.2,3.0,0.0,3.0,3.0,0.0,0.0,8.0,0.0,1.9,1.9,0.2,2.1,3.0,47.0,2.0,0.12,0.0,0.12,0.12,0.12,0.08,0.01,0.08,0.08,0.08,Matches,2020-2021,28.0
7,Salvi,es ESP,Cadiz,"MF,FW",29.0,,25,1933.0,21.5,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,2.0,2.0,1.5,3.5,51.0,29.0,131.0,0.09,0.0,0.09,0.09,0.09,0.09,0.07,0.16,0.09,0.16,Matches,2020-2021,28.0
8,Marcos Mauro López Gutiérrez,ar ARG,Cadiz,DF,29.0,,22,1825.0,20.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.5,1.5,0.0,1.5,2.0,13.0,0.0,0.1,0.0,0.1,0.1,0.1,0.07,0.0,0.08,0.07,0.08,Matches,2020-2021,24.0
9,Álex Fernández,es ESP,Cadiz,MF,27.0,,21,1946.0,21.6,4.0,1.0,5.0,2.0,2.0,2.0,1.0,0.0,3.3,1.8,1.5,3.2,26.0,104.0,43.0,0.18,0.05,0.23,0.09,0.14,0.15,0.07,0.22,0.08,0.15,Matches,2020-2021,25.0
10,Anthony Lozano,hn HON,Cadiz,FW,27.0,,18,1523.0,16.9,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,5.7,5.7,0.8,6.4,33.0,39.0,72.0,0.18,0.06,0.24,0.18,0.24,0.33,0.05,0.38,0.33,0.38,Matches,2020-2021,29.0
11,José Mari,es ESP,Cadiz,MF,32.0,,18,1451.0,16.1,1.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,1.2,0.4,0.5,1.0,8.0,38.0,10.0,0.06,0.0,0.06,0.0,0.0,0.08,0.03,0.11,0.03,0.06,Matches,2020-2021,22.0
12,Alberto Perea,es ESP,Cadiz,MF,29.0,,16,1549.0,17.2,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,1.8,1.8,2.5,4.3,61.0,51.0,74.0,0.12,0.17,0.29,0.12,0.29,0.1,0.15,0.25,0.1,0.25,Matches,2020-2021,27.0
13,Jairo Izquierdo,es ESP,Cadiz,"MF,DF",26.0,,11,1277.0,14.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,0.8,1.6,33.0,28.0,57.0,0.07,0.0,0.07,0.07,0.07,0.05,0.06,0.11,0.05,0.11,Matches,2020-2021,30.0
14,Rubén Sobrino,es ESP,Cadiz,"FW,MF",28.0,,11,1113.0,12.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,3.0,21.0,30.0,39.0,0.08,0.0,0.08,0.08,0.08,0.16,0.08,0.24,0.16,0.24,Matches,2020-2021,16.0
15,Carlos Akapo,gq EQG,Cadiz,DF,27.0,,10,865.0,9.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.3,0.3,0.2,0.5,12.0,15.0,15.0,0.1,0.0,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05,Matches,2020-2021,13.0
16,Pedro Alcalá,es ESP,Cadiz,DF,31.0,,8,909.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2020-2021,13.0
17,Filip Malbašić,rs SRB,Cadiz,"FW,MF",27.0,,8,860.0,9.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.7,1.5,19.0,18.0,41.0,0.0,0.1,0.1,0.0,0.1,0.08,0.08,0.16,0.08,0.16,Matches,2020-2021,28.0
18,Jon Ander Garrido,es ESP,Cadiz,MF,30.0,,7,800.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,0.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,2020-2021,23.0
